x,mempool_tx_count,date
1512636300000,83737.9375,2017-12-07 08:45:00
1512819900000,156725.57291666666,2017-12-09 11:45:00
1513003500000,80535.05208333333,2017-12-11 14:45:00
1513187100000,97703.55208333333,2017-12-13 17:45:00
1513370700000,113968.41145833333,2017-12-15 20:45:00
1513554300000,105901.796875,2017-12-17 23:45:00
1513737900000,123583.859375,2017-12-20 02:45:00
1513921500000,128312.84375,2017-12-22 05:45:00
1514105100000,91109.53125,2017-12-24 08:45:00
1514288700000,88765.66145833333,2017-12-26 11:45:00
1514472300000,106146.3125,2017-12-28 14:45:00
1514655900000,109532.984375,2017-12-30 17:45:00
1514839500000,85879.40104166667,2018-01-01 20:45:00
1515023100000,93340.61979166667,2018-01-03 23:45:00
1515206700000,82542.06770833333,2018-01-06 02:45:00
1515390300000,64390.34375,2018-01-08 05:45:00
1515573900000,39388.036458333336,2018-01-10 08:45:00
1515757500000,33316.71875,2018-01-12 11:45:00
1515941100000,39145.010416666664,2018-01-14 14:45:00
1516124700000,28839.65625,2018-01-16 17:45:00
1516308300000,54769.604166666664,2018-01-18 20:45:00
1516491900000,66220.20833333333,2018-01-20 23:45:00
1516675500000,65571.91145833333,2018-01-23 02:45:00
1516859100000,47128.427083333336,2018-01-25 05:45:00
1517042700000,35463.546875,2018-01-27 08:45:00
1517226300000,24097.286458333332,2018-01-29 11:45:00
1517409900000,16347.015625,2018-01-31 14:45:00
1517593500000,18025.244791666668,2018-02-02 17:45:00
1517777100000,10364.484375,2018-02-04 20:45:00
1517960700000,7075.78125,2018-02-06 23:45:00
1518144300000,5949.786458333333,2018-02-09 02:45:00
1518327900000,6493.260416666667,2018-02-11 05:45:00
1518511500000,5365.223958333333,2018-02-13 08:45:00
1518695100000,7213.333333333333,2018-02-15 11:45:00
1518878700000,3507.0572916666665,2018-02-17 14:45:00
1519062300000,4500.145833333333,2018-02-19 17:45:00
1519245900000,3705.4114583333335,2018-02-21 20:45:00
1519429500000,3836.0208333333335,2018-02-23 23:45:00
1519613100000,1534.6666666666667,2018-02-26 02:45:00
1519796700000,6676.802083333333,2018-02-28 05:45:00
1519980300000,2560.0260416666665,2018-03-02 08:45:00
1520163900000,6561.020833333333,2018-03-04 11:45:00
1520347500000,6135.953125,2018-03-06 14:45:00
1520531100000,4480.703125,2018-03-08 17:45:00
1520714700000,4333.005208333333,2018-03-10 20:45:00
1520898300000,1626.5260416666667,2018-03-12 23:45:00
1521081900000,2066.4375,2018-03-15 02:45:00
1521265500000,1356.625,2018-03-17 05:45:00
1521449100000,1371.625,2018-03-19 08:45:00
1521632700000,2326.6770833333335,2018-03-21 11:45:00
1521816300000,3491.9166666666665,2018-03-23 14:45:00
1521999900000,1748.7708333333333,2018-03-25 17:45:00
1522183500000,2262.359375,2018-03-27 20:45:00
1522367100000,1649.6614583333333,2018-03-29 23:45:00
1522550700000,1903.0364583333333,2018-04-01 02:45:00
1522734300000,1228.1666666666667,2018-04-03 05:45:00
1522917900000,1804.8125,2018-04-05 08:45:00
1523101500000,2068.4270833333335,2018-04-07 11:45:00
1523285100000,1341.328125,2018-04-09 14:45:00
1523468700000,1569.5364583333333,2018-04-11 17:45:00
1523652300000,2994.921875,2018-04-13 20:45:00
1523835900000,1405.5729166666667,2018-04-15 23:45:00
1524019500000,2117.28125,2018-04-18 02:45:00
