date,mempool_transaction_count
2016-12-24,6030.026041666667
2016-12-25,5727.479166666667
2016-12-26,6391.010416666667
2016-12-27,7054.541666666667
2016-12-28,7574.450520833334
2016-12-29,8094.359375
2016-12-30,6414.841145833334
2016-12-31,4735.322916666667
2017-01-01,6106.291666666667
2017-01-02,7477.260416666666
2017-01-03,8848.229166666666
2017-01-04,9481.744791666666
2017-01-05,10115.260416666666
2017-01-06,12313.294270833332
2017-01-07,14511.328125
2017-01-08,9849.049479166666
2017-01-09,5186.770833333333
2017-01-10,6314.479166666666
2017-01-11,7442.1875
2017-01-12,6678.158854166666
2017-01-13,5914.130208333333
2017-01-14,4851.053819444444
2017-01-15,3787.977430555555
2017-01-16,2724.9010416666665
2017-01-17,4927.184895833334
2017-01-18,7129.46875
2017-01-19,5531.388020833333
