Timestamp,index,Open,High,Low,Close,Volume,value,value_classification,daily_std,MA7,MA30,market_regime,mempool_transaction_count,MempoolSizeBytes,avg_fee_usd
2018-03-28,55,7902.99,8104.98,7723.03,7905.73,8931.28023636,24.0,Extreme Fear,190.9749999999999,8356.82857142857,9263.983,1,7.704821311502011,14.534344319616627,4.5151172015462375
2018-03-29,56,7905.73,8000.0,7329.0,7346.96,15279.10033377,18.0,Extreme Fear,335.5,8175.537142857143,9154.761666666667,1,7.482658380121354,13.682464154856175,4.588748828001297
2018-03-30,57,7337.06,7382.58,6550.0,6823.68,35303.06628747,12.0,Extreme Fear,416.29,7917.660000000001,9032.774333333336,1,7.515555889174382,13.896872363994904,4.400610145697384
2018-03-31,58,6816.75,7231.73,6751.0,7058.0,11451.28950996,16.0,Extreme Fear,240.36499999999975,7651.961428571428,8903.574333333332,1,7.547405532798891,14.073327676900927,4.313960637279885
2018-04-01,59,7045.11,7068.9,6427.16,6910.39,18698.01704423,16.0,Extreme Fear,320.8699999999999,7408.405714285714,8769.465,0,7.420860593943106,13.864571127039255,4.476776616743003
2018-04-02,60,6901.4,7106.5,6758.45,6977.24,13151.35435078,11.0,Extreme Fear,174.0250000000001,7273.727142857142,8620.073333333334,0,7.275949900637711,13.60041676631766,4.68560396764335
2018-04-03,61,6977.24,7506.84,6894.57,7470.0,16340.17176709,22.0,Extreme Fear,306.1350000000002,7213.142857142857,8490.74,0,7.106422548471454,13.240408832329468,4.974866028489235
2018-04-04,62,7470.0,7491.58,6734.99,6855.71,15388.63279455,22.0,Extreme Fear,378.2950000000001,7063.14,8330.349333333334,0,7.384904541232481,13.778160015783916,4.659541854069486
2018-04-05,63,6859.5,6928.7,6578.95,6772.0,12391.87929236,17.0,Extreme Fear,174.875,6981.0028571428575,8199.001666666667,0,7.602487140771275,14.12595348125191,4.390627593013432
2018-04-06,64,6772.0,6850.0,6510.0,6619.36,9052.6605839,19.0,Extreme Fear,170.0,6951.814285714286,8096.653999999999,0,7.636494551934336,14.627505578602884,4.293189385390747
2018-04-07,65,6619.36,7069.13,6539.69,6996.97,7627.36501854,20.0,Extreme Fear,264.72000000000025,6943.095714285714,8018.219666666667,0,7.669383394456309,14.95997696873438,4.273424803915515
2018-04-08,66,6995.6,7104.52,6863.0,6990.0,4523.73203879,17.0,Extreme Fear,120.76000000000022,6954.468571428572,7954.95,0,7.462527510575873,14.515892251009276,4.435056270597328
2018-04-09,67,6991.31,7175.83,6642.31,6674.46,8753.57626217,21.0,Extreme Fear,266.75999999999976,6911.214285714285,7873.343,0,7.201415540151641,13.697039977409307,4.811038873205606
2018-04-10,68,6667.09,6871.88,6611.49,6849.66,7160.6967223,18.0,Extreme Fear,130.19500000000016,6822.594285714285,7780.405666666667,0,7.343010082307237,13.68796797632054,4.834039417194343
2018-04-11,69,6848.29,6984.92,6779.44,6915.04,5830.20461227,20.0,Extreme Fear,102.74000000000024,6831.07,7713.241333333333,0,7.467019814759552,13.678812919975805,4.841302049520894
2018-04-12,70,6912.0,8069.34,6758.45,7678.0,17772.63689703,18.0,Extreme Fear,655.4450000000002,6960.498571428571,7667.512333333333,0,7.7715831731704,14.140887125027968,4.749939809452774
2018-04-13,71,7684.27,8239.33,7674.99,8099.79,19082.74908382,23.0,Extreme Fear,282.1700000000001,7171.988571428572,7661.132333333333,0,8.004720378445336,14.455715681617423,4.497861500922348
2018-04-14,72,8094.1,8232.14,7805.0,8021.6,11283.99545061,23.75,,213.5699999999997,7318.364285714286,7654.685333333333,0,7.79954980258844,14.573564905082623,4.615254678196815
2018-04-15,73,8023.87,8417.0,7945.2,8297.28,7341.38806255,24.5,,235.9000000000001,7505.118571428572,7646.261333333333,0,7.541122966614713,14.678978367833489,4.822777926724507
2018-04-16,74,8305.23,8424.99,7905.0,7996.29,10818.36622302,25.25,,259.9949999999999,7693.951428571428,7651.637666666666,0,7.191719511323291,14.774331865901589,5.042695593506921
2018-04-17,75,7988.1,8160.85,7850.0,7872.33,8904.14340102,26.0,Fear,155.42500000000018,7840.047142857143,7664.947,0,7.434448100310694,14.628440789020596,4.815830885350198
2018-04-18,76,7872.33,8170.99,7806.81,8116.75,8452.48542061,24.0,Extreme Fear,182.0899999999997,8011.72,7655.671666666666,0,7.6296164470993695,14.457569250465053,4.681764501320186
2018-04-19,77,8112.88,8297.99,8074.44,8245.0,10535.68513381,25.0,Extreme Fear,111.77500000000008,8092.72,7632.447,0,7.591347844653857,14.178979106876412,4.765332133966431
2018-04-20,78,8248.66,8567.68,8200.01,8511.04,13420.03340993,26.0,Fear,183.83500000000004,8151.47,7619.845,0,7.551556281450554,13.791453562727428,4.865650515689933
2018-04-21,79,8515.26,9023.4,8480.0,8795.61,17624.48528492,32.0,Fear,271.6999999999998,8262.042857142858,7625.831999999999,0,7.4518237479409875,13.841092482824443,5.270921741547125
